id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals
2022.naacl-main.298,Unsupervised Stem-based Cross-lingual Part-of-Speech Tagging for Morphologically Rich Low-Resource Languages,2022-01-01,https://aclanthology.org/2022.naacl-main.298/,naacl,,"Unsupervised cross-lingual projection for part-of-speech (POS) tagging relies on the use of parallel data to project POS tags from a source language for which a POS tagger is available onto a target language across word-level alignments. The projected tags then form the basis for learning a POS model for the target language. However, languages with rich morphology often yield sparse word alignments because words corresponding to the same citation form do not align well. We hypothesize that for morphologically complex languages, it is more efficient to use the stem rather than the word as the core unit of abstraction. Our contributions are: 1) we propose an unsupervised stem-based cross-lingual approach for POS tagging for low-resource languages of rich morphology; 2) we further investigate morpheme-level alignment and projection; and 3) we examine whether the use of linguistic priors for morphological segmentation improves POS tagging. We conduct experiments using six source languages and eight morphologically complex target languages of diverse typologies. Our results show that the stem-based approach improves the POS models for all the target languages, with an average relative error reduction of 10.3% in accuracy per target language, and outperforms the word-based approach that operates on three-times more data for about two thirds of the language pairs we consider. Moreover, we show that morpheme-level alignment and projection and the use of linguistic priors for morphological segmentation further improve POS tagging.",1,1,1,0,0,0,,,1,1,,,,"amh,ara,deu,eng,eus,fin,fra,ind,kat,kaz,rus,spa,tel,tur","amh,ara,deu,eng,eus,fin,fra,ind,kat,kaz,rus,spa,tel,tur","amh,arb,deu,eng,eus,fin,fra,ind,kat,kaz,rus,spa,tel,tur"
2022.naacl-main.386,Syn2Vec: Synset Colexification Graphs for Lexical Semantic Similarity,2022-01-01,https://aclanthology.org/2022.naacl-main.386/,naacl,,"In this paper we focus on patterns of colexification (co-expressions of form-meaning mapping in the lexicon) as an aspect of lexical-semantic organization, and use them to build large scale synset graphs across BabelNet’s typologically diverse set of 499 world languages. We introduce and compare several approaches: monolingual and cross-lingual colexification graphs, popular distributional models, and fusion approaches. The models are evaluated against human judgments on a semantic similarity task for nine languages. Our strong empirical findings also point to the importance of universality of our graph synset embedding representations with no need for any language-specific adaptation when evaluated on the lexical similarity task. The insights of our exploratory investigation of large-scale colexification graphs could inspire significant advances in NLP across languages, especially for tasks involving languages which lack dedicated lexical resources, and can benefit from language transfer from large shared cross-lingual semantic spaces.",1,1,1,0,0,1,p,b,0,0,n,n,"ara,eng,fin,heb,pol,rus,spa,zho",,"ara,eng,fin,heb,pol,rus,spa,zho","arb,eng,fin,heb,pol,rus,spa,cmn"
N19-1097,A Systematic Study of Leveraging Subword Information for Learning Word Representations,2019-01-01,https://aclanthology.org/N19-1097/,naacl,,"The use of subword-level information (e.g., characters, character n-grams, morphemes) has become ubiquitous in modern word representation learning. Its importance is attested especially for morphologically rich languages which generate a large number of rare words. Despite a steadily increasing interest in such subword-informed word representations, their systematic comparative analysis across typologically diverse languages and different tasks is still missing. In this work, we deliver such a study focusing on the variation of two crucial components required for subword-level integration into word representation models: 1) segmentation of words into subword units, and 2) subword composition functions to obtain final word representations. We propose a general framework for learning subword-informed word representations that allows for easy experimentation with different segmentation and composition components, also including more advanced techniques based on position embeddings and self-attention. Using the unified framework, we run experiments over a large number of subword-informed word representation configurations (60 in total) on 3 tasks (general and rare word similarity, dependency parsing, fine-grained entity typing) for 5 languages representing 3 language types. Our main results clearly indicate that there is no “one-size-fits-all” configuration, as performance is both language- and task-dependent. We also show that configurations based on unsupervised segmentation (e.g., BPE, Morfessor) are sometimes comparable to or even outperform the ones based on supervised word segmentation.",1,1,1,0,0,0,p,p,1,1,n,l,"deu,eng,fin,heb,tur","deu,eng,fin,heb,tur","deu,eng,fin,heb,tur","deu,eng,fin,heb,tur"
N19-1153,Improving Lemmatization of Non-Standard Languages with Joint Learning,2019-01-01,https://aclanthology.org/N19-1153/,naacl,,"Lemmatization of standard languages is concerned with (i) abstracting over morphological differences and (ii) resolving token-lemma ambiguities of inflected words in order to map them to a dictionary headword. In the present paper we aim to improve lemmatization performance on a set of non-standard historical languages in which the difficulty is increased by an additional aspect (iii): spelling variation due to lacking orthographic standards. We approach lemmatization as a string-transduction task with an Encoder-Decoder architecture which we enrich with sentence information using a hierarchical sentence encoder. We show significant improvements over the state-of-the-art by fine-tuning the sentence encodings to jointly optimize a bidirectional language model loss. Crucially, our architecture does not require POS or morphological annotations, which are not always available for historical corpora. Additionally, we also test the proposed model on a set of typologically diverse standard languages showing results on par or better than a model without fine-tuned sentence representations and previous state-of-the-art systems. Finally, to encourage future work on processing of non-standard varieties, we release the dataset of non-standard languages underlying the present study, which is based on openly accessible sources.",1,1,1,0,0,0,p,p,0,0,i,n,"ara,bul,ces,cga,cgl,cgr,crm,deu,eng,est,eus,fas,fin,fra,fro,gml,goo,heb,hun,ita,lat,lav,nob,rus,slv,spa,tur,urd","ara,bul,ces,deu,eng,est,eus,fas,fin,fra,fra,heb,hun,ita,lat,lav,nds,nld,nor,rus,slv,slv,spa,tur,urd","ara,bul,ces,cga,crm,deu,dum,eng,est,eus,fas,fin,fra,fro,gml,goo,heb,hun,ita,lat,lav,nob,rus,slv,spa,tur,urd","arb,bul,ces,cga,crm,deu,dum,eng,ekk,eus,pes,fin,fra,fro,gml,slv,heb,hun,ita,lat,lav,nor,rus,slv,spa,tur,urd"
N19-1203,Contextualization of Morphological Inflection,2019-01-01,https://aclanthology.org/N19-1203/,naacl,,"Critical to natural language generation is the production of correctly inflected text. In this paper, we isolate the task of predicting a fully inflected sentence from its partially lemmatized version. Unlike traditional morphological inflection or surface realization, our task input does not provide “gold” tags that specify what morphological features to realize on each lemmatized word; rather, such features must be inferred from sentential context. We develop a neural hybrid graphical model that explicitly reconstructs morphological features before predicting the inflected forms, and compare this to a system that directly predicts the inflected forms without relying on any morphological annotation. We experiment on several typologically diverse languages from the Universal Dependencies treebanks, showing the utility of incorporating linguistically-motivated latent variables into NLP models.",1,1,1,0,0,0,p,p,0,0,n,n,"bul,eng,eus,fin,gla,hin,ita,lat,pol,swe","bul,eng,eus,fin,gle,hin,ita,lat,pol,swe","bul,eng,eus,fin,gla,hin,ita,lat,pol,swe","bul,eng,eus,fin,gla,hin,ita,lat,pol,swe"
2022.acl-long.265,Towards Afrocentric NLP for African Languages: Where We Are and Where We Can Go,2022-01-01,https://aclanthology.org/2022.acl-long.265/,acl,,"Aligning with ACL 2022 special Theme on “Language Diversity: from Low Resource to Endangered Languages”, we discuss the major linguistic and sociopolitical challenges facing development of NLP technologies for African languages. Situating African languages in a typological framework, we discuss how the particulars of these languages can be harnessed. To facilitate future research, we also highlight current efforts, communities, venues, datasets, and tools. Our main objective is to motivate and advocate for an Afrocentric approach to technology development. With this in mind, we recommend what technologies to build and how to build, evaluate, and deploy them based on the needs of local African communities.",0,0,0,,,,,,,,,,,,,
2022.acl-long.582,Meta-Learning for Fast Cross-Lingual Adaptation in Dependency Parsing,2022-01-01,https://aclanthology.org/2022.acl-long.582/,acl,,"Meta-learning, or learning to learn, is a technique that can help to overcome resource scarcity in cross-lingual NLP problems, by enabling fast adaptation to new tasks. We apply model-agnostic meta-learning (MAML) to the task of cross-lingual dependency parsing. We train our model on a diverse set of languages to learn a parameter initialization that can adapt quickly to new languages. We find that meta-learning with pre-training can significantly improve upon the performance of language transfer and standard supervised learning baselines for a variety of unseen, typologically diverse, and low-resource languages, in a few-shot learning setup.",1,1,1,0,0,0,p,p,1,0,i,n,"bre,bua,deu,fao,fas,fin,fra,hsb,hun,hye,jpn,kaz,swe,tam,urd,vie","ara,bre,bua,bul,ces,deu,eng,fao,fas,fin,fra,hin,hsb,hun,hye,ita,jpn,kaz,kor,nor,rus,swe,tam,tel,urd,vie","ara,bre,bua,bul,ces,deu,eng,fao,fas,fin,fra,hin,hsb,hun,hye,ita,jpn,kaz,kor,nor,rus,swe,tam,tel,urd,vie","arb,bre,bxm,bul,ces,deu,eng,fao,pes,fin,fra,hin,hsb,hun,hye,ita,jpn,kaz,kor,nor,rus,swe,tam,tel,urd,vie"
2016.jeptalnrecital-jep.75,"Stress, charge cognitive et signal de parole : étude exploratoire auprès de pilotes de chasse. (Stress, cognitive load and speech signal : an exploratory study among fighter pilots)",2016-01-01,https://aclanthology.org/2016.jeptalnrecital-jep.75/,jeptalnrecital,,"Cet article traite des effets de la charge cognitive sur la fréquence fondamentale de pilotes de F-16 placés dans un scénario de vol de nuit. La charge cognitive a été estimée à l’aide de paramètres liés à la tâche (hétéro-évaluation), à l’individu (anxiété, auto-évaluation du stress ressenti) et à la situation (simulation contrôlée). Nos résultats montrent que l’écart mélodique est un bon candidat pour évaluer le niveau de la charge cognitive, même si la relation entre eux présente des profils individuels spécifiques. La création d’une typologie des situations de communication, l’adjonction d’autres indices acoustiques et le croisement avec des données physiologiques constituent les perspectives de cette étude.",0,0,0,,,,,,,,,,,,,
2022.sigmorphon-1.19,SIGMORPHON–UniMorph 2022 Shared Task 0: Generalization and Typologically Diverse Morphological Inflection,2022-01-01,https://aclanthology.org/2022.sigmorphon-1.19/,sigmorphon,,"The 2022 SIGMORPHON–UniMorph shared task on large scale morphological inflection generation included a wide range of typologically diverse languages: 33 languages from 11 top-level language families: Arabic (Modern Standard), Assamese, Braj, Chukchi, Eastern Armenian, Evenki, Georgian, Gothic, Gujarati, Hebrew, Hungarian, Itelmen, Karelian, Kazakh, Ket, Khalkha Mongolian, Kholosi, Korean, Lamahalot, Low German, Ludic, Magahi, Middle Low German, Old English, Old High German, Old Norse, Polish, Pomak, Slovak, Turkish, Upper Sorbian, Veps, and Xibe. We emphasize generalization along different dimensions this year by evaluating test items with unseen lemmas and unseen features separately under small and large training conditions. Across the five submitted systems and two baselines, the prediction of inflections with unseen features proved challenging, with average performance decreased substantially from last year. This was true even for languages for which the forms were in principle predictable, which suggests that further work is needed in designing systems that capture the various types of generalization required for the world’s languages.",1,1,1,1,1,1,b,d,1,0,i,n,"ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,arb,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep"
2022.sigmorphon-1.20,SIGMORPHON 2022 Task 0 Submission Description: Modelling Morphological Inflection with Data-Driven and Rule-Based Approaches,2022-01-01,https://aclanthology.org/2022.sigmorphon-1.20/,sigmorphon,,"This paper describes our participation in the 2022 SIGMORPHON-UniMorph Shared Task on Typologically Diverse and AcquisitionInspired Morphological Inflection Generation. We present two approaches: one being a modification of the neural baseline encoderdecoder model, the other being hand-coded morphological analyzers using finite-state tools (FST) and outside linguistic knowledge. While our proposed modification of the baseline encoder-decoder model underperforms the baseline for almost all languages, the FST methods outperform other systems in the respective languages by a large margin. This confirms that purely data-driven approaches have not yet reached the maturity to replace trained linguists for documentation and analysis especially considering low-resource and endangered languages.",0,0,0,,,,,,,,,,,"ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep",,
2022.sigmorphon-1.23,Generalizing Morphological Inflection Systems to Unseen Lemmas,2022-01-01,https://aclanthology.org/2022.sigmorphon-1.23/,sigmorphon,,"This paper presents experiments on morphological inflection using data from the SIGMORPHON-UniMorph 2022 Shared Task 0: Generalization and Typologically Diverse Morphological Inflection. We present a transformer inflection system, which enriches the standard transformer architecture with reverse positional encoding and type embeddings. We further apply data hallucination and lemma copying to augment training data. We train models using a two-stage procedure: (1) We first train on the augmented training data using standard backpropagation and teacher forcing. (2) We then continue training with a variant of the scheduled sampling algorithm dubbed student forcing. Our system delivers competitive performance under the small and large data conditions on the shared task datasets.",0,0,0,,,,,,,,,,,"ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep",,
2022.sigmorphon-1.25,Morphology is not just a naive Bayes – UniMelb Submission to SIGMORPHON 2022 ST on Morphological Inflection,2022-01-01,https://aclanthology.org/2022.sigmorphon-1.25/,sigmorphon,,"The paper describes the Flexica team’s submission to the SIGMORPHON 2022 Shared Task 1 Part 1: Typologically Diverse Morphological Inflection. Our team submitted a nonneural system that extracted transformation patterns from alignments between a lemma and inflected forms. For each inflection category, we chose a pattern based on its abstractness score. The system outperformed the non-neural baseline, the extracted patterns covered a substantial part of possible inflections. However, we discovered that such score that does not account for all possible combinations of string segments as well as morphosyntactic features is not sufficient for a certain proportion of inflection cases.",1,1,0,0,0,0,p,p,0,0,n,n,"ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,ara,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep","ang,arb,asm,bra,ckt,evn,gml,goh,got,guj,heb,hsb,hsb,hsi,hun,hye,itl,kat,kaz,ket,khk,kor,krl,lud,mag,nds,non,pol,poma,slk,slp,tur,vep"
D18-1029,On the Relation between Linguistic Typology and (Limitations of) Multilingual Language Modeling,2018-01-01,https://aclanthology.org/D18-1029/,emnlp,,"A key challenge in cross-lingual NLP is developing general language-independent architectures that are equally applicable to any language. However, this ambition is largely hampered by the variation in structural and semantic properties, i.e. the typological profiles of the world’s languages. In this work, we analyse the implications of this variation on the language modeling (LM) task. We present a large-scale study of state-of-the art n-gram based and neural language models on 50 typologically diverse languages covering a wide variety of morphological systems. Operating in the full vocabulary LM setup focused on word-level prediction, we demonstrate that a coarse typology of morphological systems is predictive of absolute LM performance. Moreover, fine-grained typological features such as exponence, flexivity, fusion, and inflectional synthesis are borne out to be responsible for the proliferation of low-frequency phenomena which are organically difficult to model by statistical architectures, or for the meaning ambiguity of character n-grams. Our study strongly suggests that these features have to be taken into consideration during the construction of next-level language-agnostic LM architectures, capable of handling morphologically complex languages such as Tamil or Korean.",1,1,1,0,0,0,p,p,1,1,i,l,,"amh,ara,bul,cat,ces,dan,deu,ell,eng,est,eus,fas,fil,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mon,msa,mya,nan,nld,nor,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,zho","amh,ara,bul,cat,ces,dan,deu,ell,eng,est,eus,fas,fil,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mon,msa,mya,nan,nld,nor,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,zho","amh,arb,bul,cat,ces,dan,deu,ell,eng,ekk,eus,pes,tgl,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mon,zsm,mya,nan,nld,nor,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,cmn"
Q18-1032,Language Modeling for Morphologically Rich Languages: Character-Aware Modeling for Word-Level Prediction,2018-01-01,https://aclanthology.org/Q18-1032/,tacl,,"Neural architectures are prominent in the construction of language models (LMs). However, word-level prediction is typically agnostic of subword-level information (characters and character sequences) and operates over a closed vocabulary, consisting of a limited word set. Indeed, while subword-aware models boost performance across a variety of NLP tasks, previous work did not evaluate the ability of these models to assist next-word prediction in language modeling tasks. Such subword-level informed models should be particularly effective for morphologically-rich languages (MRLs) that exhibit high type-to-token ratios. In this work, we present a large-scale LM study on 50 typologically diverse languages covering a wide variety of morphological systems, and offer new LM benchmarks to the community, while considering subword-level information. The main technical contribution of our work is a novel method for injecting subword-level information into semantic word vectors, integrated into the neural language modeling training, to facilitate word-level prediction. We conduct experiments in the LM setting where the number of infrequent words is large, and demonstrate strong perplexity gains across our 50 languages, especially for morphologically-rich languages. Our code and data sets are publicly available.",1,1,1,0,0,0,p,p,1,1,i,l,"amh,ara,bul,cat,ces,dan,deu,ell,eng,est,eus,fas,fil,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mng,mya,nan,nld,nob,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,zho,zsm","amh,ara,bul,cat,ces,dan,deu,ell,eng,est,eus,fas,fil,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mon,msa,mya,nan,nld,nor,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,zho","amh,ara,bul,cat,ces,dan,deu,ell,eng,est,eus,fas,fil,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mng,mya,nan,nld,nob,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,zho,zsm","amh,arb,bul,cat,ces,dan,deu,ell,eng,ekk,eus,pes,tgl,fin,fra,heb,hin,hrv,hun,ind,ita,jav,jpn,kan,kat,khm,kor,lav,lit,mng,mya,nan,nld,nor,pol,por,ron,rus,slk,slv,spa,srp,swe,tam,tha,tur,ukr,vie,cmn,zsm"
2021.icon-main.41,Multi-Source Cross-Lingual Constituency Parsing,2021-01-01,https://aclanthology.org/2021.icon-main.41/,icon,,"Pretrained multilingual language models have become a key part of cross-lingual transfer for many natural language processing tasks, even those without bilingual information. This work further investigates the cross-lingual transfer ability of these models for constituency parsing and focuses on multi-source transfer. Addressing structure and label set diversity problems, we propose the integration of typological features into the parsing model and treebank normalization. We trained the model on eight languages with diverse structures and use transfer parsing for an additional six low-resource languages. The experimental results show that the treebank normalization is essential for cross-lingual transfer performance and the typological features introduce further improvement. As a result, our approach improves the baseline F1 of multi-source transfer by 5 on average.",0,0,0,,,,,,,,,,,,,
2021.wassa-1.7,Universal Joy A Data Set and Results for Classifying Emotions Across Languages,2021-01-01,https://aclanthology.org/2021.wassa-1.7/,wassa,,"While emotions are universal aspects of human psychology, they are expressed differently across different languages and cultures. We introduce a new data set of over 530k anonymized public Facebook posts across 18 languages, labeled with five different emotions. Using multilingual BERT embeddings, we show that emotions can be reliably inferred both within and across languages. Zero-shot learning produces promising results for low-resource languages. Following established theories of basic emotions, we provide a detailed analysis of the possibilities and limits of cross-lingual emotion classification. We find that structural and typological similarity between languages facilitates cross-lingual learning, as well as linguistic diversity of training data. Our results suggest that there are commonalities underlying the expression of emotion in different languages. We publicly release the anonymized data for future research.",0,0,0,,,,,,,,,,,,,
2021.latechclfl-1.12,Translationese in Russian Literary Texts,2021-01-01,https://aclanthology.org/2021.latechclfl-1.12/,latechclfl,,"The paper reports the results of a translationese study of literary texts based on translated and non-translated Russian. We aim to find out if translations deviate from non-translated literary texts, and if the established differences can be attributed to typological relations between source and target languages. We expect that literary translations from typologically distant languages should exhibit more translationese, and the fingerprints of individual source languages (and their families) are traceable in translations. We explore linguistic properties that distinguish non-translated Russian literature from translations into Russian. Our results show that non-translated fiction is different from translations to the degree that these two language varieties can be automatically classified. As expected, language typology is reflected in translations of literary texts. We identified features that point to linguistic specificity of Russian non-translated literature and to shining-through effects. Some of translationese features cut across all language pairs, while others are characteristic of literary translations from languages belonging to specific language families.",0,0,0,,,,,,,,,,,,,
2020.acl-main.112,Learning and Evaluating Emotion Lexicons for 91 Languages,2020-01-01,https://aclanthology.org/2020.acl-main.112/,acl,,"Emotion lexicons describe the affective meaning of words and thus constitute a centerpiece for advanced sentiment and emotion analysis. Yet, manually curated lexicons are only available for a handful of languages, leaving most languages of the world without such a precious resource for downstream applications. Even worse, their coverage is often limited both in terms of the lexical units they contain and the emotional variables they feature. In order to break this bottleneck, we here introduce a methodology for creating almost arbitrarily large emotion lexicons for any target language. Our approach requires nothing but a source language emotion lexicon, a bilingual word translation model, and a target language embedding model. Fulfilling these requirements for 91 languages, we are able to generate representationally rich high-coverage lexicons comprising eight emotional variables with more than 100k lexical entries each. We evaluated the automatically generated lexicons against human judgment from 26 datasets, spanning 12 typologically diverse languages, and found that our approach produces results in line with state-of-the-art monolingual approaches to lexicon creation and even surpasses human reliability for some languages and variables. Code and data are available at https://github.com/JULIELab/MEmoLon archived under DOI 10.5281/zenodo.3779901.",1,1,1,1,1,0,p,b,0,0,n,n,"deu,ell,eng,hrv,ind,ita,nld,pol,por,spa,tur,zho","deu,ell,eng,hrv,ind,ita,nld,pol,por,spa,tur,zho","deu,ell,eng,hrv,ind,ita,nld,pol,por,spa,tur,zho","deu,ell,eng,hrv,ind,ita,nld,pol,por,spa,tur,cmn"
2020.acl-main.420,Information-Theoretic Probing for Linguistic Structure,2020-01-01,https://aclanthology.org/2020.acl-main.420/,acl,,"The success of neural networks on a diverse set of NLP tasks has led researchers to question how much these networks actually “know” about natural language. Probes are a natural way of assessing this. When probing, a researcher chooses a linguistic task and trains a supervised model to predict annotations in that linguistic task from the network’s learned representations. If the probe does well, the researcher may conclude that the representations encode knowledge related to the task. A commonly held belief is that using simpler models as probes is better; the logic is that simpler models will identify linguistic structure, but not learn the task itself. We propose an information-theoretic operationalization of probing as estimating mutual information that contradicts this received wisdom: one should always select the highest performing probe one can, even if it is more complex, since it will result in a tighter estimate, and thus reveal more of the linguistic information inherent in the representation. The experimental portion of our paper focuses on empirically estimating the mutual information between a linguistic property and BERT, comparing these estimates to several baselines. We evaluate on a set of ten typologically diverse languages often underrepresented in NLP research—plus English—totalling eleven languages. Our implementation is available in https://github.com/rycolab/info-theoretic-probing.",1,1,1,0,0,0,p,p,0,0,n,n,"ces,eng,eus,fin,ind,kor,mar,tam,tel,tur,urd","ces,eng,eus,fin,ind,kor,mar,tam,tel,tur,urd","ces,eng,eus,fin,ind,kor,mar,tam,tel,tur,urd","ces,eng,eus,fin,ind,kor,mar,tam,tel,tur,urd"
2020.acl-main.596,Modeling Morphological Typology for Unsupervised Learning of Language Morphology,2020-01-01,https://aclanthology.org/2020.acl-main.596/,acl,,"This paper describes a language-independent model for fully unsupervised morphological analysis that exploits a universal framework leveraging morphological typology. By modeling morphological processes including suffixation, prefixation, infixation, and full and partial reduplication with constrained stem change rules, our system effectively constrains the search space and offers a wide coverage in terms of morphological typology. The system is tested on nine typologically and genetically diverse languages, and shows superior performance over leading systems. We also investigate the effect of an oracle that provides only a handful of bits per language to signal morphological type.",1,1,1,0,0,0,p,p,1,1,f,l,"aka,hin,hun,ind,rus,spa,swa,tag,tam","aka,hin,hun,ind,rus,spa,swa,tag,tam","aka,hin,hun,ind,rus,spa,swa,tag,tam","aka,hin,hun,ind,rus,spa,swh,tag,tam"
2020.acl-main.598,Unsupervised Morphological Paradigm Completion,2020-01-01,https://aclanthology.org/2020.acl-main.598/,acl,,"We propose the task of unsupervised morphological paradigm completion. Given only raw text and a lemma list, the task consists of generating the morphological paradigms, i.e., all inflected forms, of the lemmas. From a natural language processing (NLP) perspective, this is a challenging unsupervised task, and high-performing systems have the potential to improve tools for low-resource languages or to assist linguistic annotators. From a cognitive science perspective, this can shed light on how children acquire morphological knowledge. We further introduce a system for the task, which generates morphological paradigms via the following steps: (i) EDIT TREE retrieval, (ii) additional lemma retrieval, (iii) paradigm size discovery, and (iv) inflection generation. We perform an evaluation on 14 typologically diverse languages. Our system outperforms trivial baselines with ease and, for some languages, even obtains a higher accuracy than minimally supervised systems.",1,1,1,0,0,0,p,p,0,1,f,f,"bul,deu,eng,eus,fas,fin,kan,mlt,nav,por,rus,spa,swe,tur","bul,deu,eng,eus,fas,fin,kan,mlt,nav,por,rus,spa,swe,tur","bul,deu,eng,eus,fas,fin,kan,mlt,nav,por,rus,spa,swe,tur","bul,deu,eng,eus,pes,fin,kan,mlt,nav,por,rus,spa,swe,tur"
2020.acl-main.733,Frugal Paradigm Completion,2020-01-01,https://aclanthology.org/2020.acl-main.733/,acl,,"Lexica distinguishing all morphologically related forms of each lexeme are crucial to many language technologies, yet building them is expensive. We propose a frugal paradigm completion approach that predicts all related forms in a morphological paradigm from as few manually provided forms as possible. It induces typological information during training which it uses to determine the best sources at test time. We evaluate our language-agnostic approach on 7 diverse languages. Compared to popular alternative approaches, ours reduces manual labor by 16-63% and is the most robust to typological variation.",0,0,0,,,,,,,,,,,,,
C16-1298,Universal Reordering via Linguistic Typology,2016-01-01,https://aclanthology.org/C16-1298/,coling,,"In this paper we explore the novel idea of building a single universal reordering model from English to a large number of target languages. To build this model we exploit typological features of word order for a large number of target languages together with source (English) syntactic features and we train this model on a single combined parallel corpus representing all (22) involved language pairs. We contribute experimental evidence for the usefulness of linguistically defined typological features for building such a model. When the universal reordering model is used for preordering followed by monotone translation (no reordering inside the decoder), our experiments show that this pipeline gives comparable or improved translation performance with a phrase-based baseline for a large number of language pairs (12 out of 22) from diverse language families.",0,0,0,,,,,,,,,,,,,
2022.fieldmatters-1.8,"How to encode arbitrarily complex morphology in word embeddings, no corpus needed",2022-01-01,https://aclanthology.org/2022.fieldmatters-1.8/,fieldmatters,,"In this paper, we present a straightforward technique for constructing interpretable word embeddings from morphologically analyzed examples (such as interlinear glosses) for all of the world’s languages. Currently, fewer than 300-400 languages out of approximately 7000 have have more than a trivial amount of digitized texts; of those, between 100-200 languages (most in the Indo-European language family) have enough text data for BERT embeddings of reasonable quality to be trained. The word embeddings in this paper are explicitly designed to be both linguistically interpretable and fully capable of handling the broad variety found in the world’s diverse set of 7000 languages, regardless of corpus size or morphological characteristics. We demonstrate the applicability of our representation through examples drawn from a typologically diverse set of languages whose morphology includes prefixes, suffixes, infixes, circumfixes, templatic morphemes, derivational morphemes, inflectional morphemes, and reduplication.",1,1,1,0,0,0,p,p,1,1,l,l,"cat,ckt,eng,gug,mlt,ypk,zsm","cat,ckt,eng,grn,mlt,ypk,zsm","cat,ckt,eng,gug,mlt,ypk,zsm","cat,ckt,eng,gug,mlt,ypk,zsm"
2021.sigmorphon-1.3,The Match-Extend serialization algorithm in Multiprecedence,2021-01-01,https://aclanthology.org/2021.sigmorphon-1.3/,sigmorphon,,"Raimy (1999; 2000a; 2000b) proposed a graphical formalism for modeling reduplication, originallymostly focused on phonological overapplication in a derivational framework. This framework is now known as Precedence-based phonology or Multiprecedence phonology. Raimy’s idea is that the segments at the input to the phonology are not totally ordered by precedence. This paper tackles a challenge that arose with Raimy’s work, the development of a deterministic serialization algorithm as part of the derivation of surface forms. The Match-Extend algorithm introduced here requires fewer assumptions and sticks tighter to the attested typology. The algorithm also contains no parameter or constraint specific to individual graphs or topologies, unlike previous proposals. Match-Extend requires nothing except knowing the last added set of links.",0,0,0,,,,,,,,,,,,,
